model_file,feature_type,classifier,exclude_s3,channels,cv_accuracy,cv_std,train_accuracy,precision,recall,f1
aggregate_csp_bp_model_rf.pkl,csp_bp,rf,False,all,0.7223550686097224,0.11766976097676081,0.9875180897250362,0.987547855676172,0.9875180897250362,0.9875158402391383
aggregate_csp_bp_model_xgb.pkl,csp_bp,lda,False,all,0.7210902277171823,0.1170034627535011,0.9898697539797395,0.989874743154566,0.9898697539797395,0.9898690035347698
aggregate_csp_bp_model_lda.pkl,csp_bp,lda,False,all,0.6619209085776473,0.08125560256076221,0.7062228654124457,0.7084145420970251,0.7062228654124457,0.7062186739221218
aggregate_csp_model_xgb.pkl,csp_only,lda,False,all,0.5915393616063758,0.04466845007069893,0.9441027496382055,0.9441517218680975,0.9441027496382055,0.9441108792389729
aggregate_csp_model_rf.pkl,csp_only,rf,False,all,0.5795961149795847,0.04282453212134133,0.9444645441389291,0.9445005004473711,0.9444645441389291,0.9444713550623092
aggregate_csp_model_lda.pkl,csp_only,lda,False,all,0.5515493441777879,0.05947779374973771,0.5774240231548481,0.5789029979654156,0.5774240231548481,0.5667857000961609
