lsl_timestamp,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,marker
794982.034480416,-20124.52734375,-12581.439453125,-27968.3359375,-9011.8212890625,-19620.2265625,-27228.203125,-22166.73828125,-14111.86328125,
794982.0384804159,-20122.314453125,-12576.5888671875,-27967.888671875,-9034.708984375,-19615.779296875,-27221.609375,-22162.134765625,-14132.1806640625,
794982.0424804159,-20114.267578125,-12579.62890625,-27976.337890625,-9061.0400390625,-19622.931640625,-27222.7265625,-22164.369140625,-14118.8818359375,
794982.0464804159,-20093.97265625,-12577.505859375,-27982.751953125,-9040.3642578125,-19617.09765625,-27217.71875,-22156.904296875,-14086.896484375,
794982.0504804158,-20103.62890625,-12589.84375,-27997.2578125,-9026.0146484375,-19626.10546875,-27233.791015625,-22167.923828125,-14106.275390625,
794982.0544804158,-20092.67578125,-12575.4267578125,-27986.8203125,-9034.2841796875,-19609.095703125,-27209.828125,-22149.125,-14096.9326171875,
794982.0584804157,-20080.896484375,-12561.814453125,-27973.611328125,-9047.427734375,-19591.080078125,-27199.904296875,-22137.546875,-14091.1435546875,
794982.0624804157,-20074.68359375,-12550.75,-27961.115234375,-9019.2646484375,-19575.45703125,-27189.109375,-22126.796875,-14084.3486328125,
794982.0664804156,-20075.197265625,-12548.4482421875,-27960.625,-8981.4228515625,-19572.283203125,-27181.77734375,-22122.908203125,-14075.921875,
794982.0704804156,-20087.916015625,-12553.3212890625,-27959.216796875,-8987.5244140625,-19576.3515625,-27193.736328125,-22135.177734375,-14089.265625,
794982.068327791,-20085.12109375,-12546.8388671875,-27945.55859375,-9006.0986328125,-19561.509765625,-27194.47265625,-22137.234375,-14096.5078125,
794982.072327791,-20071.6875,-12529.76171875,-27925.197265625,-8973.5771484375,-19536.408203125,-27171.18359375,-22119.77734375,-14090.361328125,
794982.076327791,-20085.814453125,-12538.0322265625,-27933.17578125,-8933.03125,-19538.6875,-27177.150390625,-22126.013671875,-14100.083984375,
794982.0803277909,-20074.302734375,-12527.884765625,-27922.3125,-8924.6044921875,-19520.42578125,-27167.740234375,-22116.939453125,-14086.5390625,
794982.0843277909,-20060.935546875,-12508.5283203125,-27904.296875,-8932.7626953125,-19493.828125,-27139.95703125,-22096.30859375,-14077.732421875,
794982.0883277908,-20068.826171875,-12515.3896484375,-27916.412109375,-8924.6943359375,-19496.5546875,-27142.7734375,-22099.21484375,-14083.767578125,
794982.0923277908,-20081.455078125,-12525.716796875,-27931.8359375,-8896.150390625,-19509.25,-27157.03515625,-22110.0546875,-14093.8251953125,
794982.0963277908,-20092.296875,-12530.208984375,-27938.98828125,-8893.8486328125,-19514.212890625,-27162.220703125,-22113.1171875,-14103.4140625,
794982.1003277907,-20073.38671875,-12510.3603515625,-27920.591796875,-8911.3720703125,-19491.99609375,-27146.908203125,-22093.984375,-14090.271484375,
794982.1043277907,-20053.470703125,-12495.67578125,-27914.37890625,-8903.7275390625,-19484.060546875,-27138.794921875,-22079.365234375,-14067.4951171875,
794982.1191472501,-20058.03125,-12499.296875,-27926.134765625,-8874.8271484375,-19481.982421875,-27143.935546875,-22078.2265625,-14068.232421875,
794982.12314725,-20042.921875,-12488.076171875,-27915.96484375,-8862.064453125,-19470.224609375,-27131.0390625,-22066.87109375,-14058.353515625,
794982.12714725,-20033.33203125,-12478.419921875,-27907.62890625,-8880.548828125,-19462.40234375,-27121.3828125,-22060.232421875,-14058.21875,
794982.13114725,-20041.333984375,-12484.5888671875,-27917.41796875,-8896.3740234375,-19458.736328125,-27129.85546875,-22070.537109375,-14071.6298828125,
794982.1351472499,-20074.080078125,-12508.21484375,-27944.0390625,-8884.259765625,-19471.744140625,-27152.7421875,-22093.380859375,-14083.0517578125,
794982.1391472499,-20064.802734375,-12521.537109375,-27958.388671875,-8876.4365234375,-19480.908203125,-27171.541015625,-22107.462890625,-14087.052734375,
794982.1431472498,-20057.986328125,-12514.49609375,-27947.4140625,-8891.814453125,-19469.28515625,-27161.75,-22102.5234375,-14094.2724609375,
794982.1471472498,-20053.806640625,-12511.076171875,-27939.390625,-8918.2119140625,-19463.98828125,-27152.609375,-22101.337890625,-14107.7724609375,
794982.1511472497,-20024.7265625,-12500.458984375,-27929.48828125,-8882.158203125,-19455.2265625,-27148.18359375,-22092.62109375,-14069.6181640625,
794982.1551472497,-20035.947265625,-12506.046875,-27937.021484375,-8862.6005859375,-19457.931640625,-27157.66015625,-22098.587890625,-14068.4111328125,
794982.1583447501,-20034.359375,-12510.6513671875,-27942.943359375,-8887.03125,-19459.71875,-27161.19140625,-22100.779296875,-14071.40625,
794982.16234475,-20039.388671875,-12515.3232421875,-27948.77734375,-8920.40234375,-19461.640625,-27167.16015625,-22105.49609375,-14079.05078125,
794982.16634475,-20044.3515625,-12512.7080078125,-27948.2421875,-8908.4443359375,-19462.46875,-27166.51171875,-22102.09765625,-14079.85546875,
794982.1703447499,-20051.52734375,-12520.240234375,-27957.62890625,-8891.009765625,-19468.7265625,-27177.978515625,-22108.267578125,-14088.55078125,
794982.1743447499,-20058.388671875,-12521.693359375,-27959.1484375,-8912.7802734375,-19470.962890625,-27178.40234375,-22109.384765625,-14084.6162109375,
794982.1783447498,-20064.736328125,-12532.9365234375,-27970.056640625,-8955.3603515625,-19484.126953125,-27185.3984375,-22120.76171875,-14109.806640625,
794982.1823447498,-20066.658203125,-12538.1220703125,-27979.712890625,-8951.29296875,-19486.49609375,-27186.62890625,-22121.744140625,-14107.9521484375,
794982.1863447498,-20058.43359375,-12529.3154296875,-27971.28515625,-8910.5224609375,-19476.6171875,-27177.62109375,-22111.396484375,-14097.826171875,
794982.1903447497,-20051.771484375,-12522.810546875,-27964.021484375,-8910.3212890625,-19470.76171875,-27176.0546875,-22106.970703125,-14093.19921875,
794982.1943447497,-20034.025390625,-12502.6044921875,-27940.8203125,-8924.134765625,-19452.142578125,-27159.76171875,-22090.072265625,-14074.3349609375,
794982.196090166,-20039.904296875,-12502.0009765625,-27940.59765625,-8913.2275390625,-19450.443359375,-27156.720703125,-22089.201171875,-14077.396484375,
794982.200090166,-20044.5078125,-12508.9521484375,-27950.07421875,-8891.904296875,-19458.177734375,-27166.51171875,-22095.794921875,-14087.3662109375,
794982.2040901659,-20062.658203125,-12522.5205078125,-27967.1953125,-8901.4033203125,-19473.421875,-27182.89453125,-22110.0546875,-14093.8701171875,
794982.2080901659,-20073.677734375,-12536.0654296875,-27982.037109375,-8946.5986328125,-19485.2890625,-27197.84765625,-22127.265625,-14117.8759765625,
794982.2120901658,-20058.544921875,-12519.0107421875,-27959.1484375,-8945.5703125,-19472.37109375,-27186.583984375,-22114.97265625,-14111.5283203125,
794982.2160901658,-20048.912109375,-12505.0634765625,-27940.75390625,-8910.232421875,-19458.466796875,-27170.9140625,-22099.326171875,-14101.40234375,
794982.2200901657,-20045.603515625,-12502.0908203125,-27939.501953125,-8897.3134765625,-19455.5625,-27162.33203125,-22095.34765625,-14092.39453125,
794982.2240901657,-20043.123046875,-12509.9140625,-27947.548828125,-8928.1806640625,-19459.294921875,-27173.216796875,-22104.154296875,-14100.1064453125,
794982.2280901656,-20047.90625,-12522.3857421875,-27958.43359375,-8954.533203125,-19470.6484375,-27189.869140625,-22117.765625,-14111.3046875,
794982.2320901656,-20037.04296875,-12515.568359375,-27952.2421875,-8924.984375,-19462.267578125,-27182.6484375,-22110.099609375,-14094.0263671875,
794982.270148916,-20031.41015625,-12514.9208984375,-27949.11328125,-8910.1650390625,-19461.75390625,-27183.431640625,-22109.853515625,-14094.4736328125,
794982.274148916,-20036.4609375,-12524.263671875,-27955.23828125,-8941.279296875,-19469.912109375,-27194.517578125,-22118.68359375,-14097.8486328125,
794982.278148916,-20038.205078125,-12528.287109375,-27958.25390625,-8968.2802734375,-19466.669921875,-27194.96484375,-22119.93359375,-14093.8251953125,
794982.2821489159,-20043.009765625,-12519.189453125,-27946.876953125,-8933.03125,-19453.68359375,-27180.97265625,-22108.087890625,-14098.7431640625,
794982.2861489159,-20055.52734375,-12527.5048828125,-27954.298828125,-8904.197265625,-19455.29296875,-27186.13671875,-22113.072265625,-14101.603515625,
794982.2901489158,-20048.083984375,-12518.98828125,-27945.40234375,-8917.6083984375,-19444.005859375,-27175.787109375,-22104.84765625,-14083.365234375,
794982.2941489158,-20055.83984375,-12518.6533203125,-27948.486328125,-8947.626953125,-19444.966796875,-27167.47265625,-22101.404296875,-14081.8447265625,
794982.2981489158,-20077.09765625,-12536.892578125,-27969.095703125,-8943.759765625,-19458.826171875,-27186.896484375,-22117.587890625,-14106.923828125,
794982.3021489157,-20092.251953125,-12541.4521484375,-27977.65625,-8922.16796875,-19461.484375,-27188.68359375,-22118.19140625,-14111.4384765625,
794982.3061489157,-20111.00390625,-12544.4248046875,-27983.087890625,-8937.501953125,-19464.14453125,-27190.361328125,-22117.521484375,-14114.6572265625,
794982.289537166,-20124.75,-12541.0498046875,-27979.265625,-8968.66015625,-19458.400390625,-27187.388671875,-22115.53125,-14122.3466796875,
794982.293537166,-20121.93359375,-12540.580078125,-27981.880859375,-8966.7822265625,-19456.568359375,-27183.72265625,-22113.85546875,-14151.0458984375,
794982.2975371659,-20115.162109375,-12541.541015625,-27988.720703125,-8945.0341796875,-19460.43359375,-27181.666015625,-22110.546875,-14135.7568359375,
794982.3015371659,-20113.9765625,-12544.044921875,-27994.30859375,-8950.7333984375,-19466.9609375,-27181.30859375,-22108.736328125,-14100.240234375,
794982.3055371658,-20099.11328125,-12544.4921875,-27999.740234375,-8989.3349609375,-19469.8671875,-27180.2578125,-22108.958984375,-14093.3564453125,
794982.3095371658,-20092.02734375,-12543.888671875,-28000.96875,-8992.978515625,-19467.990234375,-27174.423828125,-22107.55078125,-14091.6796875,
794982.3135371658,-20081.90234375,-12541.2734375,-27998.33203125,-8965.1279296875,-19463.697265625,-27173.396484375,-22105.09375,-14092.640625,
794982.3175371657,-20082.125,-12547.4423828125,-28003.046875,-8972.9287109375,-19465.306640625,-27181.15234375,-22113.630859375,-14101.5146484375,
794982.3215371657,-20090.0390625,-12560.361328125,-28012.79296875,-9007.88671875,-19471.54296875,-27195.166015625,-22129.74609375,-14122.1455078125,
794982.3255371656,-20102.17578125,-12562.2841796875,-28013.419921875,-9018.9287109375,-19471.431640625,-27200.1953125,-22134.6875,-14140.1826171875,
794982.3089765831,-20097.392578125,-12557.7021484375,-28011.966796875,-8988.1953125,-19472.34765625,-27192.1484375,-22127.869140625,-14130.6611328125,
794982.312976583,-20076.11328125,-12545.5205078125,-28006.333984375,-8973.0859375,-19459.630859375,-27171.5859375,-22109.763671875,-14086.091796875,
794982.316976583,-20057.986328125,-12540.53515625,-27998.46484375,-8993.984375,-19454.376953125,-27173.9765625,-22110.099609375,-14089.98046875,
794982.3209765829,-20047.056640625,-12543.3515625,-28001.259765625,-9015.375,-19453.953125,-27179.744140625,-22114.525390625,-14110.1640625,
794982.3249765829,-20057.78515625,-12551.6669921875,-28011.138671875,-8997.8955078125,-19459.49609375,-27188.259765625,-22121.611328125,-14122.3017578125,
794982.3289765829,-20039.3671875,-12540.7587890625,-27998.689453125,-8974.6728515625,-19457.8203125,-27182.560546875,-22112.55859375,-14107.5498046875,
794982.3329765828,-20042.853515625,-12537.96484375,-27995.404296875,-8997.11328125,-19454.130859375,-27179.876953125,-22111.708984375,-14104.353515625,
794982.3369765828,-20026.716796875,-12520.8212890625,-27978.28125,-9003.2158203125,-19439.736328125,-27163.740234375,-22096.48828125,-14083.5439453125,
794982.3409765827,-20020.814453125,-12522.3193359375,-27979.33203125,-8971.8564453125,-19438.552734375,-27170.021484375,-22098.431640625,-14082.76171875,
794982.3449765827,-20026.89453125,-12531.908203125,-27986.73046875,-8949.7724609375,-19442.396484375,-27183.900390625,-22107.216796875,-14087.1865234375,
