lsl_timestamp,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,marker
793793.0281851661,-29092.583984375,-10456.2353515625,-32185.08203125,8192.607421875,-17061.287109375,-28525.228515625,-12184.583984375,-22154.982421875,
793793.032185166,-29088.515625,-10459.4091796875,-32188.232421875,8116.9912109375,-17063.009765625,-28530.59375,-12189.61328125,-22146.533203125,
793793.036185166,-29104.36328125,-10460.8173828125,-32190.892578125,8165.71826171875,-17053.240234375,-28498.33984375,-12177.833984375,-22151.271484375,
793793.0401851659,-29126.177734375,-10483.4599609375,-32213.19921875,8225.5087890625,-17081.158203125,-28534.662109375,-12204.4775390625,-22178.00390625,
793793.0441851659,-29094.08203125,-10453.0390625,-32182.623046875,8200.474609375,-17045.708984375,-28501.603515625,-12173.005859375,-22146.064453125,
793793.0481851659,-29074.0546875,-10435.4482421875,-32164.7421875,8138.67236328125,-17032.38671875,-28477.5078125,-12153.0234375,-22123.287109375,
793793.0521851658,-29099.423828125,-10471.814453125,-32203.0078125,8145.556640625,-17084.66796875,-28542.439453125,-12195.291015625,-22145.6171875,
793793.0561851658,-29098.70703125,-10469.8701171875,-32203.990234375,8224.7490234375,-17059.1640625,-28547.9609375,-12195.15625,-22148.142578125,
793793.0601851657,-29100.96484375,-10454.4697265625,-32186.53515625,8212.7236328125,-17053.53125,-28477.240234375,-12163.8193359375,-22141.392578125,
793793.0641851657,-29097.412109375,-10454.849609375,-32184.58984375,8129.0166015625,-17051.83203125,-28505.24609375,-12176.8056640625,-22143.783203125,
793793.064712791,-29111.626953125,-10460.52734375,-32193.708984375,8136.45947265625,-17044.43359375,-28475.765625,-12170.63671875,-22160.66015625,
793793.068712791,-29122.2890625,-10466.9638671875,-32199.85546875,8218.6025390625,-17055.275390625,-28492.4609375,-12180.44921875,-22166.560546875,
793793.0727127909,-29118.109375,-10464.8857421875,-32199.498046875,8220.5244140625,-17054.470703125,-28497.625,-12182.3486328125,-22162.1796875,
793793.0767127909,-29110.330078125,-10463.0302734375,-32198.158203125,8139.0078125,-17046.04296875,-28495.43359375,-12182.37109375,-22162.380859375,
793793.0807127908,-29109.458984375,-10465.6455078125,-32204.482421875,8124.7919921875,-17049.8203125,-28506.095703125,-12188.31640625,-22157.552734375,
793793.0847127908,-29117.3046875,-10470.8759765625,-32215.591796875,8200.810546875,-17073.0,-28531.734375,-12200.5654296875,-22159.51953125,
